time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,3.3662356178517795e-05,0.2601138614939085,-2.2700506565185403,-3.254382852086595e-05,0.9599362684452013,1.570045368630716
0.001,5.8133024907605526e-05,0.2601194975650261,-2.270049865746118,-4.229403411418686e-05,0.9599372653529501,1.5700550068503856
0.002,8.260369363669324e-05,0.2601251336361437,-2.2700490749736955,-5.204423970750777e-05,0.9599382622606989,1.570064645070055
0.003,0.00010707436236578099,0.2601307697072613,-2.2700482842012732,-6.179444530082868e-05,0.9599392591684476,1.5700742832897245
0.004,0.0001315450310948687,0.2601364057783789,-2.2700474934288506,-7.154465089414959e-05,0.9599402560761964,1.570083921509394
0.005,0.00015601569982395645,0.26014204184949646,-2.2700467026564284,-8.12948564874705e-05,0.9599412529839452,1.5700935597290635
0.006,0.0001804863685530442,0.26014767792061405,-2.2700459118840057,-9.10450620807914e-05,0.959942249891694,1.570103197948733
0.007,0.00020495703728213189,0.26015331399173164,-2.2700451211115835,-0.00010079526767411233,0.9599432467994427,1.5701128361684025
0.008,0.00022942770601121963,0.2601589500628492,-2.270044330339161,-0.00011054547326743322,0.9599442437071914,1.570122474388072
0.009,0.0002538983747403073,0.2601645861339668,-2.2700435395667387,-0.00012029567886075412,0.9599452406149402,1.5701321126077414
0.01,0.00027836904346939507,0.2601702222050844,-2.270042748794316,-0.00013004588445407505,0.959946237522689,1.570141750827411
0.011,0.0003550177852923936,0.2601902260158575,-2.2700418567251988,-0.0001835313629199838,0.959947226212501,1.5701513546430743
0.012,0.0004375292319574048,0.2602118441794009,-2.270040953274431,-0.00024193091698955426,0.9599482139789494,1.5701609545931188
0.013,0.0005200406786224159,0.2602334623429443,-2.2700400498236624,-0.0003003304710591246,0.9599492017453977,1.5701705545431635
0.014,0.000602552125287427,0.2602550805064877,-2.270039146372894,-0.00035873002512869505,0.959950189511846,1.5701801544932081
0.015,0.0006850635719524381,0.2602766986700311,-2.270038242922126,-0.0004171295791982654,0.9599511772782943,1.5701897544432528
0.016,0.0007675750186174493,0.2602983168335745,-2.2700373394713576,-0.0004755291332678359,0.9599521650447426,1.5701993543932975
0.017,0.0008500864652824605,0.2603199349971179,-2.2700364360205896,-0.0005339286873374063,0.9599531528111909,1.5702089543433422
0.018,0.0009325979119474714,0.2603415531606613,-2.270035532569821,-0.0005923282414069765,0.9599541405776392,1.5702185542933869
0.019,0.0010151093586124825,0.2603631713242047,-2.2700346291190527,-0.000650727795476547,0.9599551283440875,1.5702281542434315
0.02,0.0010976208052774937,0.2603847894877481,-2.2700337256682848,-0.0007091273495461175,0.9599561161105359,1.5702377541934762
0.021,0.0012890748319715666,0.26041402106973555,-2.2700206062674675,-0.0008923783725274309,0.95995685297661,1.5702427697195114
0.022,0.0015081092586729963,0.26044518009943035,-2.2700043942210684,-0.0011072373623218434,0.9599575263236021,1.5702466246318736
0.023,0.0017271436853744267,0.2604763391291251,-2.2699881821746692,-0.0013220963521162565,0.9599581996705941,1.5702504795442356
0.024,0.001946178112075857,0.2605074981588199,-2.2699719701282706,-0.00153695534191067,0.9599588730175863,1.5702543344565976
0.025,0.0021652125387772877,0.26053865718851466,-2.2699557580818714,-0.001751814331705083,0.9599595463645784,1.5702581893689598
0.026,0.0023842469654787174,0.2605698162182094,-2.2699395460354723,-0.0019666733214994954,0.9599602197115704,1.5702620442813218
0.027,0.0026032813921801476,0.2606009752479042,-2.269923333989073,-0.0021815323112939085,0.9599608930585626,1.570265899193684
0.028,0.002822315818881578,0.26063213427759896,-2.269907121942674,-0.0023963913010883217,0.9599615664055546,1.570269754106046
0.029,0.0030413502455830087,0.26066329330729376,-2.269890909896275,-0.002611250290882735,0.9599622397525467,1.570273609018408
0.03,0.0032603846722844385,0.2606944523369885,-2.269874697849876,-0.0028261092806771476,0.9599629130995389,1.5702774639307702
0.031,0.0036045134533985172,0.2607278849139638,-2.2698326908787028,-0.003203794962818484,0.9599634376024576,1.5702797145234177
0.032,0.004003031084257227,0.2607623059897567,-2.269779468722845,-0.0036522748590237008,0.9599638973905619,1.570281267585755
0.033,0.004401548715115936,0.26079672706554957,-2.2697262465669876,-0.0041007547552289175,0.9599643571786662,1.5702828206480919
0.034,0.004800066345974645,0.26083114814134245,-2.26967302441113,-0.004549234651434135,0.9599648169667705,1.570284373710429
0.035,0.005198583976833355,0.26086556921713533,-2.2696198022552725,-0.004997714547639352,0.9599652767548749,1.570285926772766
0.036,0.005597101607692062,0.2608999902929282,-2.269566580099415,-0.005446194443844565,0.9599657365429791,1.5702874798351032
0.037,0.005995619238550771,0.2609344113687211,-2.2695133579435574,-0.0058946743400497825,0.9599661963310835,1.5702890328974404
0.038,0.00639413686940948,0.26096883244451397,-2.2694601357877,-0.006343154236254999,0.9599666561191877,1.5702905859597773
0.039,0.00679265450026819,0.26100325352030684,-2.2694069136318418,-0.006791634132460216,0.9599671159072921,1.5702921390221145
0.04,0.007191172131126899,0.2610376745960998,-2.269353691475984,-0.007240114028665433,0.9599675756953964,1.5702936920844515
0.041,0.007734992273636298,0.26107275287730397,-2.2692567676778674,-0.007815635782445554,0.9599678666439296,1.5702947905909215
0.042,0.008377322593535994,0.26110827672149894,-2.269130215647711,-0.008477287609157813,0.9599680431249572,1.5702955809239225
0.043,0.009019652913435688,0.2611438005656939,-2.269003663617554,-0.009138939435870066,0.9599682196059848,1.5702963712569233
0.044,0.009661983233335385,0.2611793244098889,-2.2688771115873974,-0.009800591262582325,0.9599683960870123,1.5702971615899242
0.045,0.01030431355323508,0.2612148482540838,-2.2687505595572404,-0.010462243089294583,0.9599685725680399,1.5702979519229252
0.046,0.010946643873134777,0.2612503720982788,-2.2686240075270834,-0.011123894916006842,0.9599687490490674,1.570298742255926
0.047,0.011588974193034474,0.26128589594247376,-2.268497455496927,-0.011785546742719102,0.9599689255300949,1.5702995325889268
0.048,0.012231304512934171,0.26132141978666873,-2.26837090346677,-0.01244719856943136,0.9599691020111225,1.5703003229219277
0.049,0.012873634832833868,0.2613569436308637,-2.2682443514366133,-0.01310885039614362,0.9599692784921501,1.5703011132549287
0.05,0.013515965152733565,0.2613924674750586,-2.2681177994064563,-0.013770502222855877,0.9599694549731775,1.5703019035879295
0.051,0.014227032953981048,0.26142498944734927,-2.2679689501488447,-0.01447823111100486,0.9599694794078824,1.5703025151758798
0.052,0.015008241042318118,0.26145444828504355,-2.2677973486183207,-0.015232977408783162,0.9599693486932782,1.570302944370921
0.053,0.01578944913065519,0.26148390712273784,-2.2676257470877963,-0.015987723706561464,0.959969217978674,1.5703033735659624
0.054,0.016570657218992257,0.2615133659604322,-2.267454145557272,-0.016742470004339764,0.9599690872640698,1.5703038027610037
0.055,0.01735186530732933,0.26154282479812646,-2.2672825440267474,-0.017497216302118066,0.9599689565494656,1.570304231956045
0.056,0.018133073395666402,0.2615722836358208,-2.267110942496223,-0.01825196259989637,0.9599688258348614,1.5703046611510862
0.057,0.01891428148400347,0.2616017424735151,-2.266939340965699,-0.01900670889767467,0.9599686951202572,1.5703050903461275
0.058,0.019695489572340543,0.26163120131120937,-2.2667677394351746,-0.01976145519545297,0.959968564405653,1.5703055195411688
0.059,0.02047669766067761,0.2616606601489037,-2.26659613790465,-0.02051620149323127,0.9599684336910489,1.57030594873621
0.06,0.021257905749014677,0.261690118986598,-2.2664245363741258,-0.02127094779100957,0.9599683029764446,1.5703063779312516
0.061,0.02211502653662763,0.2617298036555769,-2.2662195333246835,-0.022120144336427953,0.9599680900944436,1.5703067811237528
0.062,0.023088936092357328,0.26178522037268603,-2.2659631433230585,-0.023114648955138765,0.9599677508010628,1.5703071443123464
0.063,0.024062845648087024,0.2618406370897951,-2.265706753321434,-0.02410915357384958,0.9599674115076821,1.57030750750094
0.064,0.02503675520381672,0.2618960538069042,-2.2654503633198093,-0.025103658192560392,0.9599670722143012,1.5703078706895337
0.065,0.026010664759546418,0.2619514705240133,-2.2651939733181847,-0.026098162811271204,0.9599667329209205,1.5703082338781273
0.066,0.026984574315276115,0.2620068872411224,-2.26493758331656,-0.027092667429982016,0.9599663936275397,1.570308597066721
0.067,0.02795848387100581,0.2620623039582315,-2.2646811933149356,-0.02808717204869283,0.9599660543341589,1.5703089602553146
0.068,0.02893239342673551,0.2621177206753406,-2.2644248033133105,-0.029081676667403647,0.9599657150407781,1.5703093234439083
0.069,0.029906302982465202,0.2621731373924497,-2.264168413311686,-0.03007618128611446,0.9599653757473973,1.570309686632502
0.07,0.0308802125381949,0.26222855410955875,-2.2639120233100614,-0.03107068590482527,0.9599650364540165,1.5703100498210956
0.071,0.03191292221537773,0.26229625488045416,-2.263642546932162,-0.032135147283729654,0.9599646815290234,1.570310382557787
0.072,0.03308756322020611,0.2623936068156613,-2.2633414827494627,-0.03336846980792892,0.9599642888725523,1.5703106417898878
0.073,0.034262204225034495,0.2624909587508685,-2.263040418566763,-0.03460179233212819,0.9599638962160811,1.5703109010219882
0.074,0.03543684522986287,0.26258831068607563,-2.2627393543840633,-0.03583511485632746,0.95996350355961,1.5703111602540887
0.075,0.03661148623469126,0.2626856626212828,-2.2624382902013638,-0.03706843738052673,0.9599631109031388,1.5703114194861894
0.076,0.037786127239519636,0.26278301455648995,-2.2621372260186643,-0.038301759904726,0.9599627182466677,1.5703116787182898
0.077,0.03896076824434802,0.2628803664916971,-2.2618361618359644,-0.03953508242892527,0.9599623255901966,1.5703119379503903
0.078,0.0401354092491764,0.26297771842690426,-2.261535097653265,-0.04076840495312454,0.9599619329337253,1.570312197182491
0.079,0.04131005025400478,0.2630750703621114,-2.2612340334705654,-0.04200172747732381,0.9599615402772542,1.5703124564145914
0.08,0.04248469125883317,0.2631724222973186,-2.2609329692878655,-0.04323505000152307,0.9599611476207831,1.570312715646692
0.081,0.04361685160033778,0.26327755617366827,-2.260653949200504,-0.04445398615157224,0.9599607904124656,1.570312977045906
0.082,0.044570145991005464,0.2634154561179867,-2.260467746356671,-0.04561234809467359,0.9599605824595319,1.5703132475698098
0.083,0.04552344038167315,0.2635533560623052,-2.260281543512838,-0.04677071003777495,0.9599603745065982,1.5703135180937133
0.084,0.04647673477234083,0.2636912560066236,-2.260095340669005,-0.0479290719808763,0.9599601665536645,1.5703137886176168
0.085,0.047430029163008515,0.26382915595094203,-2.259909137825172,-0.04908743392397766,0.9599599586007307,1.5703140591415203
0.086,0.04838332355367619,0.2639670558952604,-2.259722934981339,-0.050245795867078995,0.959959750647797,1.5703143296654238
0.087,0.04933661794434387,0.2641049558395789,-2.259536732137506,-0.051404157810180345,0.9599595426948633,1.5703146001893276
0.088,0.05028991233501156,0.2642428557838973,-2.259350529293673,-0.0525625197532817,0.9599593347419296,1.570314870713231
0.089,0.05124320672567924,0.26438075572821573,-2.25916432644984,-0.05372088169638306,0.9599591267889959,1.5703151412371346
0.09,0.052196501116346924,0.26451865567253413,-2.258978123606007,-0.05487924363948441,0.9599589188360622,1.570315411761038
0.091,0.05316678591227111,0.26467038004521587,-2.2587910455045974,-0.056081785594752194,0.9599587136830792,1.5703163530698518
0.092,0.05430697476076027,0.26496034870153046,-2.2585952148274235,-0.05772612767168431,0.9599585365296035,1.5703240022277662
0.093,0.05544716360924943,0.2652503173578451,-2.258399384150249,-0.05937046974861642,0.9599583593761277,1.5703316513856809
0.094,0.05658735245773859,0.2655402860141597,-2.258203553473075,-0.061014811825548534,0.9599581822226521,1.5703393005435953
0.095,0.057727541306227745,0.2658302546704743,-2.258007722795901,-0.06265915390248064,0.9599580050691763,1.57034694970151
0.096,0.058867730154716906,0.2661202233267889,-2.2578118921187267,-0.06430349597941276,0.9599578279157006,1.5703545988594243
0.097,0.06000791900320607,0.2664101919831035,-2.2576160614415524,-0.06594783805634487,0.959957650762225,1.570362248017339
0.098,0.06114810785169523,0.2667001606394181,-2.2574202307643785,-0.06759218013327699,0.9599574736087492,1.5703698971752533
0.099,0.06228829670018439,0.26699012929573274,-2.257224400087204,-0.0692365222102091,0.9599572964552735,1.570377546333168
0.1,0.06342848554867354,0.2672800979520473,-2.25702856941003,-0.07088086428714122,0.9599571193017977,1.5703851954910824
0.101,0.06456867439716271,0.2675700666083619,-2.256832738732856,-0.07252520636407332,0.9599569421483221,1.5703928446489968
0.102,0.06594917259968194,0.26798213126454384,-2.256629955656837,-0.07435071980041545,0.9599567642039682,1.5704159079691717
0.103,0.06733212293846683,0.26839544179827546,-2.2564271016379727,-0.07617808192409854,0.9599565862515441,1.5704391285767167
0.104,0.0687150732772517,0.2688087523320071,-2.256224247619109,-0.07800544404778162,0.9599564082991201,1.5704623491842618
0.105,0.07009802361603658,0.2692220628657387,-2.2560213936002445,-0.0798328061714647,0.9599562303466961,1.5704855697918068
0.106,0.07148097395482145,0.2696353733994703,-2.2558185395813806,-0.08166016829514777,0.9599560523942721,1.5705087903993518
0.107,0.07286392429360632,0.2700486839332019,-2.2556156855625162,-0.08348753041883085,0.959955874441848,1.5705320110068968
0.108,0.0742468746323912,0.27046199446693353,-2.255412831543652,-0.08531489254251393,0.959955696489424,1.5705552316144418
0.109,0.07562982497117607,0.27087530500066515,-2.255209977524788,-0.087142254666197,0.959955518537,1.5705784522219868
0.11,0.07701277530996095,0.27128861553439676,-2.2550071235059237,-0.08896961678988008,0.9599553405845759,1.5706016728295318
0.111,0.07839572564874582,0.2717019260681283,-2.2548042694870594,-0.09079697891356317,0.9599551626321519,1.5706248934370768
